Player,Position,Team,Opponent,CBS_FantasyPoints
Dak Prescott,QB,DAL,,22
Tom Brady,QB,NE,,22
Drew Brees,QB,NO,,21
Carson Wentz,QB,PHI,,20
Tyrod Taylor,QB,BUF,,20
Cam Newton,QB,CAR,,19
Andy Dalton,QB,CIN,,19
Jameis Winston,QB,TB,,19
Russell Wilson,QB,SEA,,18
Kirk Cousins,QB,WAS,,18
Matt Ryan,QB,ATL,,18
Alex Smith,QB,KC,,17
Ben Roethlisberger,QB,PIT,,17
Philip Rivers,QB,LAC,,16
Derek Carr,QB,OAK,,15
Matthew Stafford,QB,DET,,14
Josh McCown,QB,NYJ,,14
C.J. Beathard,QB,SF,,13
Case Keenum,QB,MIN,,13
Jacoby Brissett,QB,IND,,13
Mitchell Trubisky,QB,CHI,,13
Deshaun Watson,QB,HOU,,12
Joe Flacco,QB,BAL,,12
Matt Moore,QB,MIA,,11
Trevor Siemian,QB,DEN,,10
DeShone Kizer,QB,CLE,,5
Cody Kessler,QB,CLE,,0
Bryce Petty,QB,NYJ,,0
Chase Daniel,QB,NO,,0
Derek Anderson,QB,CAR,,0
Cooper Rush,QB,DAL,,0
Austin Davis,QB,SEA,,0
Landry Jones,QB,PIT,,0
Kevin Hogan,QB,CLE,,0
Jameill Showers,QB,DAL,,0
Mike Glennon,QB,CHI,,0
Tom Savage,QB,HOU,,0
Connor Cook,QB,OAK,,0
Jimmy Garoppolo,QB,NE,,0
Joshua Dobbs,QB,PIT,,0
Jake Rudock,QB,DET,,0
David Fales,QB,MIA,,0
Cardale Jones,QB,LAC,,0
Matt Schaub,QB,ATL,,0
Brad Kaaya,QB,DET,,0
Kyle Sloter,QB,MIN,,0
Jeff Driskel,QB,CIN,,0
Joe Webb,QB,BUF,,0
Josh Woodrum,QB,BAL,,0
Scott Tolzien,QB,IND,,0
Christian Hackenberg,QB,NYJ,,0
Garrett Gilbert,QB,CAR,,0
Paxton Lynch,QB,DEN,,0
Kellen Clemens,QB,LAC,,0
Nick Foles,QB,PHI,,0
Brian Hoyer,QB,SF,,0
Taysom Hill,QB,NO,,0
